date,avg wind (mph),temp (?F),Humidity (%),Shade/ Sun,time (am),plot,treatment,Plant #,cm of tube filled,cm of second tube filled,cm of third tube,cm of fourth tube,size tube (µL),% sucrose,% of second tube,% of third tube,% of fourth tube,Volume (µL),notes
6/12/2015,0,50,,shade,7:49,WHSR (9),heating & snow removal,4,0,,,,1,NA,,,,0,
6/12/2015,0,51,,shade,7:50,WHSR (9),heating & snow removal,1,0.4,,,,1,32,,,,0.072727273,
6/12/2015,0,51,,shade,7:53,WHSR (9),heating & snow removal,1,0,,,,1,NA,,,,0,
6/12/2015,0,50.8,,shade,7:54,WHSR (9),heating & snow removal,2,0,,,,1,NA,,,,0,
6/12/2015,0,50.8,,shade,7:55,WHSR (9),heating & snow removal,,,,,,,,,,,0,
6/12/2015,0,51.3,,shade,7:56,WHSR (9),heating & snow removal,3,0,,,,1,NA,,,,0,
6/12/2015,0,51.3,,shade,7:58,WHSR (9),heating & snow removal,3,0,,,,1,NA,,,,0,
6/12/2015,0,51.4,,shade,8:00,WHSR (9),heating & snow removal,3,0.3,,,,1,NA,,,,0.054545455,
6/12/2015,0,51.4,,shade,8:03,WHSR (9),heating & snow removal,3,0.6,,,,1,32,,,,0.109090909,
6/12/2015,0,50.7,,sun,8:09,WC (11),control,3,0,,,,1,NA,,,,0,WSR (10) all flowers senescing
6/12/2015,0,52.4,,sun,8:12,WC (11),control,7,0,,,,1,NA,,,,0,
6/12/2015,0,52.4,,sun,8:12,WC (11),control,7,0,,,,1,NA,,,,0,
6/13/2015,0,49.1,,shade,7:48,ESR (2),snow removal,2,0,,,,1,NA,,,,0,EHSR (1) - no ff flowers
6/13/2015,0,49.1,,shade,7:49,ESR (2),snow removal,2,0,,,,1,NA,,,,0,
6/13/2015,0,47.5,,shade,7:50,ESR (2),snow removal,8,0,,,,1,NA,,,,0,
6/13/2015,0,47.5,,shade,7:51,ESR (2),snow removal,8,0,,,,1,NA,,,,0,
6/13/2015,0,46.4,,shade,7:54,EC (3),control,8,0,,,,1,NA,,,,0,
6/13/2015,0,46.1,,shade,7:54,EH (4),heating,3,0,,,,1,NA,,,,0,
6/13/2015,0,45.2,,sun,7:56,EH (4),heating,4,0,,,,1,NA,,,,0,
6/13/2015,0,47.2,,shade,7:58,EH (4),heating,5,1.1,,,,1,>50,,,,0.2,
6/13/2015,0,47.2,,shade,8:02,EH (4),heating,5,0,,,,1,NA,,,,0,
6/13/2015,0,48.6,,sun,8:03,EH (4),heating,6,0.2,,,,1,48,,,,0.036363636,
6/13/2015,0,48.6,,sun,8:09,EH (4),heating,6,0,,,,1,NA,,,,0,
6/13/2015,0,47.5,,sun,8:11,EH (4),heating,8,0,,,,1,NA,,,,0,
6/13/2015,0,47.5,,sun,8:12,EH (4),heating,8,0,,,,1,NA,,,,0,
6/13/2015,0,47.5,,shade,8:16,CC (6),control,9,0,,,,1,NA,,,,0,
6/13/2015,0,47.5,,sun,8:18,CH (5),heating,4,0,,,,1,NA,,,,0,
6/13/2015,0,56.6,,sun,8:23,CH (5),heating,5,0,,,,1,NA,,,,0,
6/13/2015,0,59.9,,sun,8:25,CH (5),heating,6,0,,,,1,NA,,,,0,
6/13/2015,0,59.9,,sun,8:26,CH (5),heating,6,0,,,,1,NA,,,,0,
6/13/2015,0,59.9,,shade,8:29,CH (5),heating,7,0,,,,1,NA,,,,0,
6/13/2015,0,61,,shade,8:29,CH (5),heating,7,0,,,,1,NA,,,,0,
6/13/2015,0,61,,shade,8:30,CH (5),heating,7,0,,,,1,NA,,,,0,
6/13/2015,0,61.8,,sun,8:34,CHSR (8),heating & snow removal,2,0,,,,1,NA,,,,0,CSR (7) - no good flowers to sample
6/13/2015,0,61.8,,sun,8:35,CHSR (8),heating & snow removal,2,0,,,,1,NA,,,,0,
6/13/2015,0,55.2,,sun,8:37,CHSR (8),heating & snow removal,4,0,,,,1,NA,,,,0,
6/13/2015,0,55.2,,sun,8:37,CHSR (8),heating & snow removal,4,0.1,,,,1,NA,,,,0.018181818,
6/13/2015,0,58.2,,sun,8:39,CHSR (8),heating & snow removal,4,0,,,,1,NA,,,,0,
6/13/2015,0,58.2,,sun,8:42,CHSR (8),heating & snow removal,6,0,,,,1,NA,,,,0,
6/13/2015,0,57.1,,sun,8:46,CHSR (8),heating & snow removal,4,0,,,,1,NA,,,,0,
6/13/2015,0,57.1,,sun,8:46,CHSR (8),heating & snow removal,4,0,,,,1,NA,,,,0,
